seed,episode,soups,dynamic_correct,frozen_correct,prediction_events,dynamic_disagreement,frozen_disagreement,observed_pairs
0,0,0.0,3,3,6,0.6666666666666666,0.6666666666666666,6
0,1,3.0,1,1,6,0.6666666666666666,0.6666666666666666,5
0,2,0.0,1,1,6,0.6666666666666666,0.6666666666666666,5
0,3,2.0,3,3,6,0.3333333333333333,0.3333333333333333,6
0,4,2.0,3,3,6,0.6666666666666666,0.6666666666666666,6
0,5,0.0,2,2,6,0.6666666666666666,0.6666666666666666,5
0,6,0.0,3,3,6,0.6666666666666666,0.6666666666666666,5
0,7,2.0,1,1,6,0.6666666666666666,0.6666666666666666,6
0,8,0.0,2,2,6,0.6666666666666666,0.6666666666666666,0
0,9,2.0,3,3,6,0.6666666666666666,0.6666666666666666,5
0,10,0.0,0,0,6,0.6666666666666666,0.6666666666666666,6
0,11,2.0,2,2,6,0.6666666666666666,0.6666666666666666,6
0,12,0.0,2,2,6,0.6666666666666666,0.6666666666666666,0
0,13,0.0,3,3,6,0.6666666666666666,0.6666666666666666,2
0,14,4.0,1,1,6,0.6666666666666666,0.6666666666666666,6
0,15,0.0,4,4,6,0.6666666666666666,0.6666666666666666,6
0,16,4.0,2,2,6,0.6666666666666666,0.6666666666666666,6
0,17,2.0,4,4,6,0.6666666666666666,0.6666666666666666,4
0,18,2.0,2,2,6,0.6666666666666666,0.6666666666666666,6
0,19,0.0,0,0,6,0.3333333333333333,0.3333333333333333,6
0,20,2.0,1,1,6,0.3333333333333333,0.3333333333333333,6
0,21,0.0,4,4,6,0.0,0.0,0
0,22,0.0,3,3,6,0.6666666666666666,0.6666666666666666,0
0,23,0.0,4,4,6,0.0,0.0,2
0,24,2.0,4,4,6,0.6666666666666666,0.6666666666666666,6
0,25,4.0,3,3,6,0.3333333333333333,0.3333333333333333,6
0,26,0.0,1,1,6,0.3333333333333333,0.3333333333333333,6
0,27,3.0,3,3,6,0.3333333333333333,0.3333333333333333,5
0,28,0.0,4,4,6,0.3333333333333333,0.3333333333333333,0
0,29,2.0,2,2,6,0.0,0.0,6
0,30,4.0,0,0,6,0.0,0.0,6
0,31,2.0,1,1,6,0.3333333333333333,0.3333333333333333,6
0,32,0.0,1,1,6,0.3333333333333333,0.3333333333333333,4
0,33,0.0,3,3,6,0.3333333333333333,0.3333333333333333,0
0,34,3.0,0,0,6,0.3333333333333333,0.3333333333333333,6
0,35,3.0,2,2,6,0.3333333333333333,0.3333333333333333,5
0,36,2.0,1,1,6,0.3333333333333333,0.3333333333333333,4
0,37,4.0,2,2,6,0.3333333333333333,0.3333333333333333,6
0,38,0.0,1,1,6,0.3333333333333333,0.3333333333333333,2
0,39,2.0,3,3,6,0.3333333333333333,0.3333333333333333,6
0,40,0.0,3,3,6,0.3333333333333333,0.3333333333333333,5
0,41,0.0,6,6,6,0.0,0.0,4
0,42,3.0,1,1,6,0.3333333333333333,0.3333333333333333,6
0,43,2.0,2,2,6,0.0,0.0,6
0,44,2.0,1,1,6,0.3333333333333333,0.3333333333333333,6
0,45,2.0,2,2,6,0.0,0.0,6
0,46,3.0,0,0,6,0.0,0.0,5
0,47,2.0,4,4,6,0.0,0.0,5
0,48,0.0,2,2,6,0.0,0.0,4
0,49,0.0,0,0,6,0.0,0.0,1
0,50,0.0,0,0,6,0.0,0.0,4
0,51,4.0,4,4,6,0.0,0.0,6
0,52,0.0,0,0,6,0.0,0.0,4
0,53,2.0,4,4,6,0.0,0.0,6
0,54,2.0,2,2,6,0.0,0.0,6
0,55,0.0,2,2,6,0.0,0.0,5
0,56,3.0,2,2,6,0.0,0.0,5
0,57,4.0,2,2,6,0.0,0.0,6
0,58,2.0,2,2,6,0.0,0.0,6
0,59,1.0,2,2,6,0.0,0.0,6
0,60,0.0,2,2,6,0.6666666666666666,0.6666666666666666,1
0,61,3.0,3,3,6,0.3333333333333333,0.3333333333333333,5
0,62,0.0,4,4,6,0.0,0.0,4
0,63,4.0,1,2,6,0.3333333333333333,0.6666666666666666,6
0,64,0.0,0,0,6,0.0,0.3333333333333333,6
0,65,0.0,0,0,6,0.3333333333333333,0.6666666666666666,6
0,66,0.0,2,2,6,1.0,0.0,6
0,67,0.0,3,1,6,0.6666666666666666,0.3333333333333333,6
0,68,2.0,3,4,6,0.3333333333333333,0.0,6
0,69,0.0,2,2,6,0.0,0.0,0
0,70,2.0,4,2,6,0.0,0.0,5
0,71,0.0,2,1,6,0.0,0.3333333333333333,5
0,72,2.0,0,2,6,0.0,0.3333333333333333,6
0,73,0.0,0,0,6,0.0,0.3333333333333333,6
0,74,0.0,4,2,6,0.0,0.0,2
0,75,3.0,0,1,6,0.0,0.6666666666666666,6
0,76,0.0,2,1,6,0.0,0.6666666666666666,5
0,77,2.0,2,1,6,0.0,0.6666666666666666,6
0,78,2.0,3,3,6,0.3333333333333333,0.3333333333333333,6
0,79,2.0,1,4,6,0.3333333333333333,0.0,6
